T,T
DI,DI
L,L
C,T
DO,DO
T,T
DO,DO
DI,DI
C,C
DO,L
DO,DO
L,L
C,C
DI,DI
DI,DI
DO,DI
C,C
DI,DI
DI,U
DO,L
L,L
L,L
DO,DO
C,T
DI,U
DO,DO
C,C
DO,DO
C,C
C,C
C,C
C,T
DI,DI
DO,DO
DI,DI
DO,U
C,C
DO,L
DO,DO
DO,DO
DI,U
DI,DI
C,C
DO,L
C,C
DO,DO
DI,DI
DO,DO
C,C
C,C
C,U
C,C
T,T
DO,DO
DI,DI
DO,DO
T,C
C,C
T,T
DO,DO
L,L
DO,C
DO,C
L,DO
C,C
C,C
C,C
DO,DO
C,C
L,L
C,C
C,C
C,C
C,C
DI,DI
C,C
T,T
DI,DI
C,C
C,C
C,C
C,C
C,C
C,C
L,L
DO,L
DO,DO
L,L
DO,DO
L,L
DI,DI
C,C
DO,C
C,DI
C,C
C,C
T,C
DO,L
DI,DI
C,DI
C,C
C,C
C,C
C,C
C,C
C,C
DO,DO
C,C
DO,DO
L,L
L,DO
DO,DO
C,C
C,C
C,C
DI,DI
C,C
DI,DI
DI,DI
DI,DI
DO,DO
C,C
L,L
DI,DI
DI,DI
L,L
C,C
L,L
DI,DI
T,T
L,L
C,C
L,L
DO,DO
C,C
DI,DI
DI,DI
L,DO
C,C
T,T
T,T
DO,DO
DO,DO
DI,DI
DI,DI
C,DO
C,C
C,C
DO,DO
DI,C
C,C
L,L
L,L
C,C
DI,DI
DO,DO
L,L
T,T
C,C
C,C
DI,DI
C,C
L,L
L,L
DO,DO
C,C
C,C
C,C
T,T
DO,DO
DI,DI
DI,DI
C,C
DI,DI
DI,DI
DO,L
DI,DI
DI,DI
C,C
L,L
DO,DO
DO,DO
DO,DO
C,C
T,C
L,L
C,C
C,C
L,L
DO,DO
DI,DI
DO,DO
C,C
C,DO
DO,DO
DI,DI
DI,DI
L,L
C,C
C,C
T,T
C,C
DO,L
DO,DO
C,C
C,C
C,C
C,C
C,C
T,T
C,C
L,L
C,C
DO,DO
L,L
DO,DO
DI,DI
C,C
C,C
C,C
DI,DI
DO,DO
L,L
DI,DI
L,L
C,C
C,C
C,DO
C,C
DI,DI
C,C
C,C
DO,DO
T,C
DI,DI
T,T
DO,DO
T,T
DO,DO
L,L
C,C
DO,DO
C,C
L,L
C,C
DI,DI
DI,DI
DI,DI
DI,DI
DO,DO
L,L
C,C
C,C
DI,DI
C,C
DI,DI
L,DO
L,L
T,T
L,L
DO,DO
L,L
L,T
DO,DO
DI,DI
T,T
T,T
C,C
C,C
DI,DI
DO,DO
C,C
DI,DI
DO,C
DI,DI
C,C
C,C
DO,DO
L,L
C,C
T,T
L,L
C,C
DO,DO
DI,DI
DO,L
C,C
C,C
C,C
DI,DI
C,C
DO,DO
C,C
C,C
DO,L
C,C
C,C
DI,DI
DI,DI
DO,DO
C,C
L,L
C,C
C,C
C,C
DO,C
C,C
C,C
DO,L
C,C
DO,DO
C,C
C,C
DI,DI
C,C
DI,DI
C,C
DO,DO
C,C
C,C
DO,DO
L,L
DI,DI
DO,U
C,C
C,C
T,T
DI,DI
C,C
C,C
C,C
DO,DO
C,C
DO,DO
T,T
C,C
DI,DI
DI,DI
L,L
C,C
C,C
L,L
DI,DI
C,C
DI,DI
L,L
L,L
DI,DI
C,C
DI,DI
C,C
C,C
C,C
C,C
C,C
L,L
DI,DI
T,T
DO,DO
DO,DO
C,C
C,C
DO,C
DO,DO
L,L
DI,DI
DI,DI
L,L
DO,DO
L,L
L,L
L,L
L,L
C,C
C,C
L,L
L,L
C,C
DO,DO
C,C
C,C
DI,DI
C,C
DO,DO
DO,DO
DI,DI
T,C
L,L
C,C
L,L
C,C
C,DO
DO,DO
DO,DO
C,C
C,C
L,L
DI,DI
L,L
C,C
DO,DO
C,C
DI,DI
C,C
C,T
C,C
C,C
C,T
L,L
C,C
DO,DO
C,C
C,C
DO,DO
DI,DI
C,C
DI,DI
C,C
C,C
DO,DO
C,C
DI,DI
C,C
C,C
T,C
DI,DI
