C,C
DO,DO
L,L
DO,DO
L,DO
DO,DO
Do,DO
C,C
DO,DO
DO,DO
C,C
Do,DO
C,C
L,L
Do,DO
L,L
Do,DO
L,L
L,DO
Do,DO
L,L
C,C
Do,DO
L,DO
C,C
L,L
L,L
Di,DI
L,L
Do,DO
Do,DO
C,C
L,L
L,L
C,C
L,L
Do,DO
L,L
C,C
T,C
C,DI
L,DO
L,L
C,DI
C,C
L,L
L,L
L,C
Do,DO
Do,DO
Di,DI
Do,DO
Di,DI
l,L
Do,DO
L,L
Do,DO
C,T
C,C
Do,DO
Do,DO
C,C
DO,DO
C,T
Di,DI
L,L
L,L
L,L
Do,DO
L,L
L,L
C,C
DO,DO
C,C
DO,DO
DO,DO
L,L
DI,DI
DO,DO
C,C
DO,DO
DO,DO
DI,DI
L,L
DO,DO
DO,L
DO,DO
DO,DO
L,L
DO,DO
DO,DO
L,L
L,L
C,C
DO,DO
DO,DO
C,DO
C,C
L,L
L,L
DO,DO
DO,DO
DO,DO
C,C
L,L
DO,DO
L,L
L,L
DI,DI
DO,DO
DO,T
DO,T
C,C
DO,L
DO,L
DI,DI
C,T
DI,DI
C,C
C,C
L,L
U,U
DI,C
C,C
L,L
DO,DO
C,C
C,C
L,L
L,L
DO,DO
L,L
DI,DI
DO,DO
C,C
C,C
DI,DI
DI,DI
DI,DI
C,C
L,L
DO,DO
L,L
C,C
DO,DO
L,L
L,L
C,T
C,C
L,L
DI,DI
C,L
DO,DO
DO,DO
L,L
C,C
L,L
C,C
L,L
DO,DO
L,L
L,DI
L,L
L,L
C,C
L,L
DO,DO
L,L
DO,DO
L,L
DO,DO
L,L
C,C
L,L
DI,DI
DI,DI
C,C
C,C
L,L
C,C
L,L
L,L
DO,DO
DO,T
C,T
DO,DO
C,C
DO,DO
L,L
DO,DO
DI,DI
C,C
C,C
DO,DO
DI,DI
L,L
L,L
DO,DO
L,L
DI,DI
DI,DI
C,C
L,L
C,C
DI,DI
C,C
DO,DO
DO,DO
DO,DO
L,L
DI,DI
DO,DO
L,L
DI,DI
L,L
L,L
L,L
C,C
C,C
L,L
C,T
C,C
DO,DO
L,L
DO,DO
C,C
C,C
C,T
C,C
DI,DI
DI,C
L,L
DO,DO
L,L
DI,DI
DO,DO
T,T
C,C
DO,DO
C,C
L,L
L,L
DI,DI
C,T
DI,DI
DI,DI
C,T
L,L
DO,DO
C,T
DO,DO
L,L
C,C
DI,DI
DO,DO
DO,DO
DI,DI
C,C
DO,DO
C,C
DI,DI
DO,L
L,L
C,C
L,L
C,C
C,T
DO,DO
DO,T
U,U
C,L
L,L
DO,DO
DI,DI
L,L
DO,DO
L,L
L,L
L,L
C,C
DO,DO
U,U
L,L
C,C
C,C
DO,DO
L,L
L,L
L,L
DI,DI
DI,DI
C,C
DO,DO
DI,DI
DI,DO
DI,DO
C,C
L,L
DI,DI
DO,DO
C,C
DI,DI
DI,DI
DO,DO
DI,DI
C,C
L,L
DO,T
DI,DI
DO,DO
DO,DO
C,C
DO,DO
L,L
U,U
DI,DI
C,C
L,L
L,L
DO,DO
C,C
DO,DO
L,L
DO,DO
L,L
L,L
C,C
DO,C
L,L
L,L
C,T
L,L
C,T
L,L
L,L
DO,DO
DI,DI
C,C
L,L
DO,DO
L,L
L,L
L,L
DO,DO
L,L
L,L
L,L
DO,DO
DI,DI
DO,DO
C,C
L,L
C,C
C,C
C,T
C,C
DO,DO
DO,DO
C,C
U,U
L,L
DO,DO
C,T
DO,T
C,C
C,C
DO,DO
DI,DI
DO,L
C,C
L,L
DI,DO
L,L
L,L
DI,DI
DI,DI
DI,DI
C,C
DO,DO
DO,DO
L,L
C,C
DI,DI
DO,DO
C,T
C,C
L,L
DO,DO
DO,DO
C,C
DI,DI
L,L
DO,DO
DO,DO
DO,DO
L,L
DO,DO
L,L
L,L
DO,DO
DO,DO
C,C
L,L
L,L
DI,DI
C,C
DI,DI
DI,DI
DI,DI
DO,DO
DO,T
L,L
C,T
L,L
DI,DI
DO,DO
DI,DI
C,C
L,L
DI,DI
C,C
L,L
L,L
L,L
DO,DO
DO,DO
DO,DO
C,C
DI,DI
DO,DO
C,C
C,C
L,L
DO,T
C,C
L,T
L,L
DI,DI
C,T
DI,DI
DI,DI
L,L
C,T
C,C
DO,L
C,C
DI,DI
C,C
C,DO
L,L
DO,DO
C,C
L,L
L,L
DO,DO
L,L
DO,DO
L,L
L,L
DI,DI
L,L
DO,DI
C,C
C,T
DI,DI
C,C
DO,DO
DO,DO
DI,DI
C,C
L,L
C,T
L,L
DO,T
L,L
C,C
DO,DO
DO,DO
DO,DO
C,T
DO,T
C,C
L,L
C,C
C,C
DI,DI
C,C
C,L
DO,DO
DO,DO
L,L
DO,DO
DO,DO
L,L
L,L
L,L
DO,DO
DO,DO
C,T
L,L
DI,DI
L,L
L,T
C,C
L,L
L,L
DO,DO
C,T
C,C
DI,DI
C,T
C,C
DO,DO
C,C
C,T
DI,DI
L,L
L,L
L,L
DO,DO
C,L
DI,DI
L,L
L,L
DO,DO
DO,DO
C,C
DI,DI
C,C
U,U
L,L
DO,DO
L,L
C,C
DO,DO
DO,DO
L,L
C,C
L,L
DO,DO
DO,DO
DO,DO
C,C
L,L
L,L
C,C
L,L
DO,DO
C,C
DO,DO
C,C
L,L
DO,DO
DO,DO
DI,DI
C,C
DO,DO
DO,DO
DO,DO
L,L
DO,DO
DO,DO
C,C
DO,DO
L,L
L,L
DO,DO
C,C
L,L
C,C
DO,DO
C,C
C,C
C,C
L,L
DI,DI
DO,DO
DO,DO
L,L
DO,DO
L,L
DO,DO
C,C
DI,DI
C,C
DO,DO
DO,C
DI,DI
C,C
C,T
C,C
DO,DO
L,L
L,L
L,L
C,C
L,L
L,L
L,L
DO,DO
L,L
L,L
L,L
C,C
C,C
DO,DO
DI,DI
C,C
C,C
DO,DO
C,C
C,C
DO,DO
C,C
DO,DO
L,L
L,L
L,L
C,C
C,C
DO,DO
C,C
DO,DO
L,L
C,C
DO,DO
L,L
DO,DO
L,L
C,C
L,L
DO,DO
L,L
L,L
DO,DO
DO,DO
C,C
C,C
DO,DO
DO,DO
DO,DO
DO,DO
DI,DI
DO,DO
C,C
DO,DO
L,L
DI,DI
DO,DO
DO,DO
C,C
DO,DO
L,L
T,T
C,C
DO,DO
DO,DO
DO,DO
DO,DO
C,C
L,L
DO,DO
DO,DO
DI,DI
C,C
C,C
DO,DO
C,C
C,C
DO,DO
C,C
DO,DO
DI,DI
C,C
L,L
C,C
L,L
C,C
L,L
L,L
C,C
L,L
DO,DO
DO,DO
L,L
C,C
C,C
L,L
DI,DI
C,C
DO,DO
C,C
DO,DO
DO,DO
L,L
DO,DO
DO,DO
DO,DO
DO,DO
C,C
L,L
C,C
DI,DI
DO,DO
L,L
L,L
DO,DO
DI,DI
C,C
DO,DO
DO,DO
DO,DO
C,C
L,L
DO,DO
L,L
C,C
L,L
DO,DO
C,C
L,L
DO,DO
L,L
C,C
C,C
C,C
DO,DO
L,L
L,L
DI,DI
DO,DO
C,C
DI,DI
DI,DI
C,C
C,C
DI,DI
L,L
DI,DI
L,L
DI,DI
DO,DO
L,L
L,L
DO,DO
C,C
C,C
L,L
DO,DO
L,L
L,L
C,C
DO,DO
DO,DO
DO,DO
DI,DI
L,L
L,L
DO,DO
C,C
L,L
C,C
DI,DI
L,L
DO,DO
DO,DO
DO,DO
DO,DO
DI,DI
DO,DO
L,L
DI,DI
L,L
L,L
C,C
DO,DO
C,C
L,L
DO,DO
L,L
DI,DI
L,L
DI,DI
L,L
L,L
L,L
L,L
L,L
L,L
C,C
DI,DI
DO,DO
DO,DO
L,L
L,L
DO,DO
L,L
C,C
C,C
C,C
L,L
C,C
C,C
DO,DO
DO,DO
DO,DO
L,L
DO,DO
L,L
L,L
DO,DO
L,L
L,L
L,L
C,C
L,L
L,L
DI,DI
DO,DO
C,C
DO,DO
DO,DO
C,C
DI,DI
C,C
DO,DO
DO,DO
L,L
C,C
DO,DO
DO,DO
C,C
DO,DO
L,L
DO,DO
L,L
DO,DO
DO,DO
DO,DO
L,L
DO,DO
DI,DI
L,L
L,L
L,L
DO,DO
L,L
C,C
DI,DI
DO,DO
DO,DO
DO,DO
DO,DO
L,L
DO,DO
L,L
DO,DO
L,L
DO,DO
C,T
DO,DO
C,C
C,C
L,L
Do,DO
L,L
Di,DI
L,T
Do,DO
Do,DO
L,L
C,C
L,L
C,C
Di,DI
Do,DO
C,C
L,L
Do,DO
Di,DI
Di,DI
Do,DO
C,C
L,L
Do,DO
C,C
Di,DI
Do,DO
L,L
C,C
Do,DO
L,L
Do,DO
Do,DO
L,L
Do,DO
U,U
Do,DO
L,L
L,L
Di,DI
Di,DI
L,L
Do,DO
Di,DI
Do,DO
C,C
L,L
Do,DO
C,C
Di,DI
Do,DO
Do,DO
Do,DO
C,C
L,L
Do,DO
C,C
L,L
Do,DO
C,C
L,L
C,C
C,DI
Do,DO
Do,DO
C,C
Do,DO
Do,DO
L,L
L,L
Do,L
C,C
Do,DO
L,L
